Model,Metric,Value,FP_Count,FN_Count,Total_Errors,Balanced_Score
No_Resampling,Precision,0.9589,3,25,28,0.8772
No_Resampling,Recall,0.7368,3,25,28,0.8772
No_Resampling,F1_Score,0.8333,3,25,28,0.8772
No_Resampling,AUC_ROC,0.9796,3,25,28,0.8772
Undersampling,Precision,0.053,1466,13,1479,0.4968
Undersampling,Recall,0.8632,1466,13,1479,0.4968
Undersampling,F1_Score,0.0998,1466,13,1479,0.4968
Undersampling,AUC_ROC,0.971,1466,13,1479,0.4968
SMOTE,Precision,0.6667,38,19,57,0.7906
SMOTE,Recall,0.8,38,19,57,0.7906
SMOTE,F1_Score,0.7273,38,19,57,0.7906
SMOTE,AUC_ROC,0.9682,38,19,57,0.7906
Hybrid_SMOTETomek,Precision,0.6667,38,19,57,0.7906
Hybrid_SMOTETomek,Recall,0.8,38,19,57,0.7906
Hybrid_SMOTETomek,F1_Score,0.7273,38,19,57,0.7906
Hybrid_SMOTETomek,AUC_ROC,0.9682,38,19,57,0.7906
